Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
"07.05.2021","10,930","10,960","10,970","10,910","299,16K","0,00%"
"06.05.2021","10,930","10,910","11,005","10,820","2,22M","-0,36%"
"05.05.2021","10,970","10,865","10,970","10,840","2,48M","1,86%"
"04.05.2021","10,770","11,050","11,100","10,730","3,80M","-2,53%"
"03.05.2021","11,050","10,950","11,095","10,915","2,75M","1,38%"
"30.04.2021","10,900","10,955","11,010","10,820","1,57M","-0,14%"
"29.04.2021","10,915","10,930","11,150","10,865","3,40M","-0,05%"
"28.04.2021","10,920","10,855","10,920","10,785","2,65M","0,88%"
"27.04.2021","10,825","10,825","10,835","10,725","1,69M","0,14%"
"26.04.2021","10,810","10,880","10,890","10,790","1,60M","-0,37%"
"23.04.2021","10,850","10,585","10,890","10,570","3,51M","2,26%"
"22.04.2021","10,610","10,680","10,680","10,555","2,21M","-0,05%"
"21.04.2021","10,615","10,655","10,745","10,525","1,98M","0,00%"
"20.04.2021","10,615","10,850","10,945","10,610","3,87M","-1,35%"
"19.04.2021","10,760","10,760","10,820","10,715","1,94M","-0,14%"
"16.04.2021","10,775","10,680","10,780","10,625","2,01M","1,13%"
"15.04.2021","10,655","10,635","10,690","10,620","1,76M","-0,09%"
"14.04.2021","10,665","10,780","10,780","10,605","2,44M","-1,07%"
"13.04.2021","10,780","10,785","10,805","10,685","1,81M","-0,05%"
"12.04.2021","10,785","10,795","10,810","10,685","2,00M","-0,09%"
"09.04.2021","10,795","10,770","10,820","10,685","2,52M","0,23%"
"08.04.2021","10,770","10,960","10,965","10,755","2,79M","-1,42%"
"07.04.2021","10,925","10,940","10,950","10,830","2,21M","-0,14%"
"06.04.2021","10,940","10,950","11,020","10,875","2,71M","0,27%"
"01.04.2021","10,910","10,895","10,940","10,800","2,42M","0,65%"
"31.03.2021","10,840","10,845","11,000","10,840","3,95M","-0,14%"
"30.03.2021","10,855","10,870","10,895","10,750","3,48M","0,70%"
"29.03.2021","10,780","10,585","10,820","10,575","4,76M","2,18%"
"26.03.2021","10,550","10,525","10,570","10,480","3,48M","0,86%"
"25.03.2021","10,460","10,430","10,490","10,355","2,95M","-0,10%"
"24.03.2021","10,470","10,400","10,520","10,335","3,22M","0,53%"
"23.03.2021","10,415","10,500","10,530","10,365","2,64M","-0,86%"
"22.03.2021","10,505","10,290","10,565","10,245","3,67M","1,60%"
"19.03.2021","10,340","10,240","10,620","10,155","34,16M","-1,10%"
"18.03.2021","10,455","10,460","10,570","10,405","4,42M","0,72%"
"17.03.2021","10,380","10,445","10,650","10,355","7,09M","-0,53%"
"16.03.2021","10,435","10,235","10,450","10,230","4,83M","2,15%"
"15.03.2021","10,215","10,310","10,405","10,165","3,85M","-0,58%"
"12.03.2021","10,275","10,195","10,335","10,100","3,21M","0,88%"
"11.03.2021","10,185","10,250","10,305","10,140","4,17M","-0,44%"
"10.03.2021","10,230","10,140","10,240","10,060","3,27M","0,89%"
"09.03.2021","10,140","10,040","10,265","10,025","6,34M","1,00%"
"08.03.2021","10,040","9,966","10,065","9,946","6,10M","1,93%"
"05.03.2021","9,850","9,894","9,974","9,750","4,26M","-1,24%"
"04.03.2021","9,974","9,860","9,986","9,858","4,39M","0,24%"
"03.03.2021","9,950","9,922","9,994","9,804","4,32M","0,75%"
"02.03.2021","9,876","9,790","9,944","9,718","5,21M","0,49%"
"01.03.2021","9,828","9,490","9,828","9,438","5,69M","4,51%"
"26.02.2021","9,404","9,444","9,600","9,368","4,43M","-2,12%"
"25.02.2021","9,608","9,606","9,634","9,504","2,82M","0,61%"
"24.02.2021","9,550","9,510","9,668","9,420","2,92M","0,23%"
"23.02.2021","9,528","9,682","9,710","9,380","4,11M","-1,20%"
"22.02.2021","9,644","9,368","9,664","9,330","4,02M","2,62%"
"19.02.2021","9,398","9,304","9,462","9,286","2,87M","1,01%"
"18.02.2021","9,304","9,520","9,544","9,264","5,49M","-1,88%"
"17.02.2021","9,482","9,854","9,890","9,456","7,23M","-1,76%"
"16.02.2021","9,652","9,770","9,790","9,614","3,62M","-1,21%"
"15.02.2021","9,770","9,768","9,854","9,718","3,48M","0,95%"
"12.02.2021","9,678","9,662","9,700","9,460","4,02M","0,29%"
"11.02.2021","9,650","9,560","9,710","9,540","3,92M","1,43%"
"10.02.2021","9,514","9,584","9,700","9,504","4,59M","-0,59%"
"09.02.2021","9,570","9,500","9,648","9,346","5,61M","1,21%"
"08.02.2021","9,456","9,302","9,498","9,274","6,11M","2,56%"
"05.02.2021","9,220","9,080","9,290","9,022","7,68M","2,31%"
"04.02.2021","9,012","8,870","9,066","8,706","7,56M","1,60%"
"03.02.2021","8,870","8,648","8,908","8,576","13,73M","7,13%"
"02.02.2021","8,280","8,340","8,372","8,260","3,12M","-0,17%"
"01.02.2021","8,294","8,150","8,298","8,120","2,08M","2,70%"
"29.01.2021","8,076","8,138","8,216","8,076","2,38M","-1,92%"
"28.01.2021","8,234","8,110","8,256","8,072","2,43M","0,91%"
"27.01.2021","8,160","8,392","8,400","8,160","2,69M","-2,42%"
"26.01.2021","8,362","8,208","8,392","8,208","1,77M","1,88%"
"25.01.2021","8,208","8,332","8,404","8,172","2,65M","-0,73%"
"22.01.2021","8,268","8,300","8,310","8,126","2,62M","-0,60%"
"21.01.2021","8,318","8,470","8,482","8,314","1,88M","-0,93%"
"20.01.2021","8,396","8,410","8,468","8,374","2,49M","1,03%"
"19.01.2021","8,310","8,416","8,424","8,300","1,58M","-0,84%"
"18.01.2021","8,380","8,334","8,400","8,264","1,38M","0,34%"
"15.01.2021","8,352","8,426","8,494","8,322","2,97M","0,00%"
"14.01.2021","8,352","8,434","8,474","8,352","2,34M","-0,97%"
"13.01.2021","8,434","8,358","8,458","8,358","1,67M","0,52%"
"12.01.2021","8,390","8,560","8,578","8,302","4,79M","-1,69%"
"11.01.2021","8,534","8,620","8,638","8,488","1,60M","-0,70%"
"08.01.2021","8,594","8,740","8,770","8,562","2,50M","-1,42%"
"07.01.2021","8,718","8,600","8,736","8,552","4,70M","2,08%"
"06.01.2021","8,540","8,370","8,568","8,316","3,21M","3,04%"
"05.01.2021","8,288","8,340","8,368","8,252","2,51M","-0,65%"
"04.01.2021","8,342","8,380","8,412","8,298","1,74M","0,26%"
"30.12.2020","8,320","8,364","8,390","8,320","1,16M","-0,36%"
"29.12.2020","8,350","8,416","8,426","8,312","1,55M","-0,48%"
"28.12.2020","8,390","8,410","8,462","8,380","1,27M","0,26%"
"23.12.2020","8,368","8,356","8,408","8,304","1,59M","0,41%"
"22.12.2020","8,334","8,206","8,344","8,190","1,86M","2,06%"
"21.12.2020","8,166","8,204","8,222","8,002","4,10M","-2,30%"
"18.12.2020","8,358","8,390","8,418","8,344","4,20M","-0,38%"
"17.12.2020","8,390","8,516","8,548","8,382","2,78M","-1,04%"
"16.12.2020","8,478","8,360","8,536","8,358","3,49M","1,61%"
"15.12.2020","8,344","8,330","8,382","8,298","2,34M","-0,07%"
"14.12.2020","8,350","8,410","8,478","8,350","2,61M","0,00%"
"11.12.2020","8,350","8,362","8,392","8,222","3,15M","-0,81%"
"10.12.2020","8,418","8,400","8,456","8,334","2,22M","0,14%"
"09.12.2020","8,406","8,460","8,522","8,386","2,90M","0,14%"
"08.12.2020","8,394","8,396","8,440","8,370","1,66M","-0,17%"
"07.12.2020","8,408","8,508","8,508","8,390","2,05M","-1,13%"
"04.12.2020","8,504","8,460","8,546","8,428","2,27M","0,35%"
"03.12.2020","8,474","8,470","8,490","8,396","2,19M","0,00%"
"02.12.2020","8,474","8,600","8,600","8,434","3,27M","-1,60%"
"01.12.2020","8,612","8,614","8,690","8,592","2,55M","0,80%"
"30.11.2020","8,544","8,724","8,748","8,526","6,56M","-2,91%"
"27.11.2020","8,800","8,700","8,800","8,700","2,13M","1,01%"
"26.11.2020","8,712","8,796","8,820","8,712","1,38M","-0,95%"
"25.11.2020","8,796","8,820","8,864","8,682","3,57M","0,00%"
"24.11.2020","8,796","8,658","8,824","8,648","4,26M","2,26%"
"23.11.2020","8,602","8,720","8,798","8,602","3,81M","-1,80%"
"20.11.2020","8,760","8,734","8,836","8,678","3,66M","0,48%"
"19.11.2020","8,718","8,778","8,850","8,718","12,55M","-1,54%"
"18.11.2020","8,854","8,760","8,976","8,752","6,48M","1,07%"
"17.11.2020","8,760","8,620","8,760","8,614","4,67M","1,69%"
"16.11.2020","8,614","8,682","8,758","8,504","6,35M","1,29%"
"13.11.2020","8,504","8,270","8,514","8,252","8,16M","3,33%"
"12.11.2020","8,230","8,066","8,298","8,056","8,30M","3,03%"
"11.11.2020","7,988","8,060","8,114","7,984","3,36M","-0,72%"
"10.11.2020","8,046","7,852","8,050","7,790","6,48M","2,47%"
"09.11.2020","7,852","7,700","7,984","7,678","6,43M","3,53%"
"06.11.2020","7,584","7,716","7,758","7,564","2,33M","-1,63%"
"05.11.2020","7,710","7,500","7,750","7,476","4,10M","3,30%"
"04.11.2020","7,464","7,116","7,490","7,102","3,16M","3,15%"
"03.11.2020","7,236","7,188","7,300","7,164","3,62M","0,95%"
"02.11.2020","7,168","7,040","7,168","6,930","2,36M","2,40%"
"30.10.2020","7,000","6,950","7,058","6,918","2,26M","-0,11%"
"29.10.2020","7,008","7,142","7,194","6,966","3,05M","-1,35%"
"28.10.2020","7,104","7,350","7,350","7,080","3,94M","-4,21%"
"27.10.2020","7,416","7,500","7,550","7,416","1,97M","-0,72%"
"26.10.2020","7,470","7,486","7,610","7,430","2,01M","-1,61%"
"23.10.2020","7,592","7,582","7,728","7,580","1,76M","-0,18%"
"22.10.2020","7,606","7,570","7,618","7,476","1,65M","0,16%"
"21.10.2020","7,594","7,768","7,774","7,584","2,24M","-1,86%"
"20.10.2020","7,738","7,704","7,836","7,682","1,84M","0,13%"
"19.10.2020","7,728","7,730","7,830","7,694","1,36M","-0,03%"
"16.10.2020","7,730","7,692","7,778","7,582","3,62M","1,26%"
"15.10.2020","7,634","7,966","7,966","7,578","5,65M","-5,00%"
"14.10.2020","8,036","7,870","8,052","7,838","2,93M","2,11%"
