"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"07.05.2021","0,4199","0,4260","0,4260","0,4188","33,49M","-0,26%"
"06.05.2021","0,4210","0,4150","0,4260","0,4048","329,78M","-5,52%"
"05.05.2021","0,4456","0,4510","0,4515","0,4423","86,89M","-0,60%"
"04.05.2021","0,4483","0,4567","0,4608","0,4472","103,96M","-1,84%"
"03.05.2021","0,4567","0,4600","0,4620","0,4543","83,21M","0,09%"
"30.04.2021","0,4563","0,4401","0,4583","0,4396","180,43M","3,92%"
"29.04.2021","0,4391","0,4483","0,4486","0,4374","64,75M","-1,30%"
"28.04.2021","0,4449","0,4446","0,4484","0,4428","48,11M","0,57%"
"27.04.2021","0,4424","0,4385","0,4448","0,4358","69,52M","0,89%"
"26.04.2021","0,4385","0,4412","0,4420","0,4362","61,13M","-0,11%"
"23.04.2021","0,4390","0,4360","0,4423","0,4360","67,87M","0,23%"
"22.04.2021","0,4380","0,4420","0,4426","0,4348","71,86M","0,25%"
"21.04.2021","0,4369","0,4330","0,4385","0,4283","91,38M","1,44%"
"20.04.2021","0,4307","0,4410","0,4421","0,4307","97,94M","-2,60%"
"19.04.2021","0,4422","0,4460","0,4470","0,4400","70,91M","-0,74%"
"16.04.2021","0,4455","0,4395","0,4458","0,4375","78,46M","1,34%"
"15.04.2021","0,4396","0,4423","0,4430","0,4373","82,37M","-0,61%"
"14.04.2021","0,4423","0,4353","0,4427","0,4336","97,00M","1,49%"
"13.04.2021","0,4358","0,4383","0,4389","0,4302","112,76M","-0,48%"
"12.04.2021","0,4379","0,4343","0,4403","0,4310","76,96M","0,92%"
"09.04.2021","0,4339","0,4450","0,4488","0,4332","134,83M","-2,56%"
"08.04.2021","0,4453","0,4583","0,4598","0,4438","129,69M","-2,73%"
"07.04.2021","0,4578","0,4512","0,4609","0,4510","102,49M","0,84%"
"06.04.2021","0,4540","0,4601","0,4620","0,4528","108,33M","-1,18%"
"01.04.2021","0,4594","0,4672","0,4672","0,4481","165,92M","-0,39%"
"31.03.2021","0,4612","0,4607","0,4685","0,4599","148,92M","0,15%"
"30.03.2021","0,4605","0,4639","0,4700","0,4554","165,56M","0,26%"
"29.03.2021","0,4593","0,4540","0,4623","0,4486","154,73M","1,64%"
"26.03.2021","0,4519","0,4422","0,4528","0,4406","212,01M","3,48%"
"25.03.2021","0,4367","0,4360","0,4424","0,4326","179,70M","0,99%"
"24.03.2021","0,4324","0,4278","0,4332","0,4218","92,27M","0,91%"
"23.03.2021","0,4285","0,4267","0,4365","0,4251","157,64M","1,11%"
"22.03.2021","0,4238","0,4246","0,4336","0,4206","176,59M","-1,44%"
"19.03.2021","0,4300","0,4490","0,4500","0,4296","574,79M","-7,37%"
"18.03.2021","0,4642","0,4648","0,4740","0,4616","206,68M","0,98%"
"17.03.2021","0,4597","0,4552","0,4597","0,4529","131,27M","0,66%"
"16.03.2021","0,4567","0,4547","0,4570","0,4485","166,67M","1,44%"
"15.03.2021","0,4502","0,4581","0,4607","0,4485","189,03M","-0,55%"
"12.03.2021","0,4527","0,4348","0,4552","0,4332","321,43M","3,26%"
"11.03.2021","0,4384","0,4202","0,4393","0,4201","341,69M","4,66%"
"10.03.2021","0,4189","0,4000","0,4193","0,3984","261,08M","4,83%"
"09.03.2021","0,3996","0,4063","0,4085","0,3963","182,02M","-1,87%"
"08.03.2021","0,4072","0,4039","0,4088","0,4000","147,86M","1,80%"
"05.03.2021","0,4000","0,3960","0,4048","0,3944","152,19M","0,50%"
"04.03.2021","0,3980","0,3880","0,3994","0,3880","152,21M","2,58%"
"03.03.2021","0,3880","0,3880","0,3968","0,3836","174,75M","0,91%"
"02.03.2021","0,3845","0,3900","0,3942","0,3836","150,76M","-1,81%"
"01.03.2021","0,3916","0,3971","0,3986","0,3886","148,86M","-0,33%"
"26.02.2021","0,3929","0,3977","0,4043","0,3925","160,32M","-2,51%"
"25.02.2021","0,4030","0,4200","0,4235","0,4006","222,42M","-2,84%"
"24.02.2021","0,4148","0,3952","0,4184","0,3900","549,22M","9,16%"
"23.02.2021","0,3800","0,3847","0,3850","0,3771","125,65M","-0,13%"
"22.02.2021","0,3805","0,3769","0,3840","0,3741","97,64M","0,77%"
